question,answer
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,im sorry to hear youre feeling this intense emotion of worthlessness im glad to hear this has not reached the point of suicidal ideation however it does sounds like you could use some additional support right now i would recommend seeking out counseling to help you challenge the negative beliefs you have about yourself although many types of therapy would be helpful cognitivebehavioral therapy has been shown to be a good approach for this type of struggle a cbt therapist can help you identify your negative thoughts and beliefs figure out the ways your thoughts are being distorted for example allornothing thinking or discounting the positives about yourself and reframe your thoughts to be more positive you might also consider emdr therapy which helps the brain reprocess traumatic or distressing memories and helps you move forward with more positive beliefs about yourself best wishes
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,it sounds like you may be struggling with depression depression can make you feel overwhelmed and paralyzed to change i would suggest that you connect with a provider who can help you get to the root of where the worthlessness is coming from and help you develop a plan for recovery in the meantime small steps can go a long way selfcare interventions such as journaling your feelings mindfulness meditation and regular exercise are all helpful to reconnecting with the present moment and gaining internal motivation focusing on one day at a time and bringing your thoughts back to the present can also be beneficial there is hope
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,im glad you are interested in changing your feelings of worthlessness visiting your doctor is a great first step to address your lack of sleep first you want to make sure that you are physically healthy and that there isnt a physical condition causing your problem with sleep changing your feelings is something that is difficult to do especially on your own make sure that you have someone you can trust and you can talk to about how you feel this can be a friend or a family member if you find that there isnt anyone you would feel comfortable talking to about this issue find a therapist close to you who can help one activity that people have found helpful in feeling better about themselves is keeping a gratitude journal you can do this by journaling daily about the things that you are grateful for there is no right or wrong way of doing this as long as you focus your journal entries on the things you are grateful for in life
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,you have several things going on here the sleep should be addressed with a primary care physician to rule out any physical issues sleep is the big reset and allows us to function in the day what happens during a depression is that our thoughts race and it is as though our œbrain wont shut off medication can help with this i also use a pranayama yoga breathing technique called the four fold breath which has great usefulness for relaxing us  and often does work quite well with allowing us to sleep you can read about it here    httpsbillleavitttherapycombreathingtechniquesthefourfoldbreathyour thoughts on feeling worthless to everyone fall under a heading of thinking error in cognitive behavioral therapy cbt known as overgeneralization in cbt thoughts lead to emotions so we are going to pick the statement apart and then reframe it first list the evidence that contradicts the thought has anyone in the past made positive comments toward you this might be hard to recall if we are in a rut but at some point in life we frequently have had some positives expressed towards us by others  œeveryone is an absolute the specifics on why you are thinking this need to be addressed how are you arriving at this conclusion there may be specific people that we want more validation from or specific people might have made offhand hurtful comments such as a family member teacher or coworker but if i extrapolate that to a global and think that everyone thinks i am worthless that thought is not rooted in facts what are the pros and cons of thinking this way what are the benefits and costs there are very little pros or benefits to thinking this way its just going to continue to tear you down and make you feel bad so can we reframe the thought about the situation is there another way of looking at the situation again we need the specifics on how you are arriving at this conclusion and a one on one therapist can definitely help you with this but the thinking that you are using to arrive at the conclusion needs to be recast into a more helpful mindset
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,hello you sound like you have so much on your mind i am relieved to hear that you have never tried or have contemplated suicide but not being able to sleep feeling worthless and like you shouldnt be here are big issues that need addressingplease get around to counseling  having someone to listen to you is a gift to yourself you deserve the help of someone helping you change your feelings of worthlessness you have not been able to do this alone its time to reach out for help  you can do this best to you
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,it sounds like you are having some pretty severe depression depression can cause insomnia and make a person focus on their own perceptions that they are worthless it is important to remember that other people may not truly perceive you as worthless this is the depression talking i think that it is extremely important when you are this depressed to sit down and write down some positives about yourself what are your strengths what are some positive things that your have done in your life it concerns me that you are having suicidal thoughts it sounds like now is the time to act on the idea of getting some help for yourself if you feel like you might actually take your life i would recommend that you go to a hospital emergency room or a mental health crisis clinic right away to get some help the most important thing right now is to keep yourself safe if you are feeling like you are not going to hurt yourself despite your suicidal thoughts i would recommend that you focus on finding a therapist as soon as possible i dont know what your situation is in terms of insurance the back of your insurance card should inform you how to obtain mental health services there are also low cost services available with such places as catholic charities and others your local county mental health agency should be able to refer you to some appropriate places good luck remember to identify your strengths and the good things about yourself marie
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,you can for sure and the first step is to believe you are worthy to yourself recognizing you are in a quest is already a big first step taking the time to start figuring out who you are is definitely the next do so with self compassion and kindness know this is a process and just look forward for what you might find i do recommend you find someone to talk to there are many options out there that can fit the situation you are in and i also recommend you start by giving yourself the importance to invest some time and effort in this quest you deserve it there are some excellent ted talks you can google great books you can read or even joining a yoga practice team or some kind of hobby may help anything that shows yourself you are worthy of this effort have patience and start the answer is out there waiting for you asking these questions already set you on the right path
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,oftentimes we can change our feelings about ourselves by building a better relationship with ourself  it sounds like there is a very critical aspect of your self that is alive and taking over  sometimes when we are stuck it is because a part of ourselves a way that perhaps we learned to cope with difficult situations earlier in our lives has decided to run the show  like a highly critical part that may actually be desperately attempting to protect us from a past hurt slowing down and even forming a relationship with this critical internal part will help you get some space from it  when we can begin to observe parts of ourselves be curious about them get to know them like a new friend then we have room for other ways of being  beginning therapy could be a great way to change this feeling of worthlessness  beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you  this first step may feel hard to reach out to someone and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,feelings of worthlessness often originate  from what you learned about yourself when you were young improving your self esteem needs focus on that original message from parents teachers or siblings that may be suppressed  most of us need help to uncover the lie because you were born valuable
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,the feeling of being worthless is caused by your inside being not matching your outside result your comparison to others and you thinking you need to be someone other than who you are you are not worthless no one is worthless you need to find your worth and not let yourself talk yourself out of the good you find in yourself i hope these words resonate with you and that you start looking for your worth even if its as simple as i am able to get out of bed and call someone and make a joke
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,hi there im sorry youre feeling this way let me see if i can guide you in the right direction often when i talk to my clients about feelings of worthlessness we start with a little bit of selfexploration we start with noticing start to notice when these feelings come up for you is there a particular time of day a specific person who brings it out a phrase you hear just start to notice usually its tied to something but it may take a while to figure out what that somethingsomeone is try to be patientnext we start to explore when did these feelings start where do you think they come from is there something  a statement  perhaps that repeats in your head over and over again if so whose voice is it these are difficult questions and just a few of them so take your time answering them we usually do it over a few sessions it might even be helpful to write them down somewhere if you have a journal that would be a great place as research has shown that our brain works differently when we put pen to paper versus typing on a computer now comes the good news our brains are able to rewire themselves this allows us to change habits we dont want as well as statements we say to ourselves that are no longer serving us the next step is to select an ally someone who is or has been in your corner someone who is always rooting for you if you dont have someone like that thats ok  a lot of us dont  you can just make someone up close your eyes and try to describe that person in great detail from the way they look to the way they act to the way they sound now pick a phrase you would like that person to say to you whenever you start to think that youre worthless something that will help you feel better about yourself  a characteristic a skill a great joke you tell a physical attribute this also takes time and may involve you asking for help from someone who knows youonce you have all of that together  the noticing answers from where these feelings and statements come from your ally your new statement you can try to put it altogether when the feelings come up notice what is bringing them up and then call upon your ally to try to change the statement in your head from the selfdefeating one to the more positive uplifting one i hope this was helpful again i do this with my clients over quite a few weeks if not months and i am there with them the whole time it is quite an involved process and can bring up a lot of very difficult feelingmemories if at any point you find it too hard to go at alone please seek help if you take anything away from this reply know that there is help out there and that it is possible to change the way you feel
im going through some things with my feelings and myself i barely sleep and i do nothing but think about how im worthless and how i shouldnt be here ive never tried or contemplated suicide ive always wanted to fix my issues but i never get around to it how can i change my feeling of being worthless to everyone,i am sorry you are feeling this way  we all have narratives that we say to ourselves whether it is valid or not  in your case it would be beneficial to explore when and how this belief began and rewrite your story  there are different ways to explore and rewrite  this process requires commitment selfreflection and courage
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,let me start by saying there are never too many concerns that you can bring into counselling in fact most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected in counselling we work together collaboratively to figure out which issues you would like to address first and then together we develop an individualized plan of care basically its like a road map of where you want to go how are you going to get there looking at stopovers some scenic routes others possibly not so scenic however necessary of course these plans can also change due to internal what we have control over like our thoughts feelings and behaviours or external reasons those things that are outside our control i would encourage you to take the next step and reach out to a professional you can trust and build rapport with by cojourneying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia depression and anxiety as well as being a breast cancer survivor then to help you by developing new coping strategies psychotherapy can be such a powerful tool to help you get to where it is you want to be i know you can do it and you will see firsthand how psychotherapy will help you to move past these points in your life where you are feeling stuck i like to quote nike where their motto is œjust do it you can do it
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,it is never too late to get help and begin making significant changes and improvements in your life  the right time is when you feel ready and open to change  sometimes when we have a history of trauma like sexual abuse the impact of that trauma can affect many areas of our lives as adults  working with a therapist who specializes in trauma is a great way to begin developing skills to manage present day life learn to regulate your emotions and nervous system when you become triggered and then in a safe environment have the opportunity to process past traumas so you can live your present life with more ease and joy  people can and do recover from the impacts of trauma at any stage in their life  it is never too late and you can feel better
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,you have been through so much and it sounds like you have a lot of things that have complied over the years regardless of the struggles you have been through you do not have too many issues for counseling many times when someone starts out their counseling and healing journey there are multiple things they would like to address and work on if you decide to start counseling you and your therapist can decide collaboratively what you would like to process and work on first be sure to express to your counselor if any of the above experiences youve been through is causing a lot of distress  as many times the first things addressed are the ones that are presently affecting your life or you emotionally often times when we experience negative situations in our life  but do not address them they bottle up inside us and can manifest in other ways such as depression or even physical symptoms like ibs or neck pain counseling can give these bottled up emotions and situations a release given the situation you shared not only do i not think that you have too many issues for counseling but believe that you will be a great candidate and can get a lot from it
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,absolutely not i strongly recommending working on one issueneed at a time in therapy you will set smart goals and objectives that will help you reach your goals i see you as a survivor and not a victim best wishes to you
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,absolutely not  in fact most people have many issues  a lot lot of the issues you are describing commonly go hand in hand  in therapy speak we call it comorbid conditionsi would venture that most of the feelings you are struggling with stem from your early trauma  you would benifit tremendously from counseling  a good therapist will develope a treatment plan that addresses all of your needs with help you could definitely live a happy life without all of your anxiety and depression getting in the way
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,this is a great question i personally dont believe that any client could ever have too many issues for counseling in fact that type of thinking may be stopping you from seeking counseling so it may be hindering you from getting the help you need in fact all of what you described points to the importance of you seeking help in order to cope with the many challenges in your life if you seek counseling it will be important for you to understand that you may need to remain in counseling for a sustained period of time in order to work through each of these issues all of these issues wont be able to be solved right away or in a brief period of time counseling will take commitment and hard work but it is possible for you to recover and heal from all of the issues you describedmany clients come into counseling with numerous issues rather than just one particular thing most of the time the issues relate to and exacerbate each other we call these comorbid conditions which means that two or more mental health problems exist at one time a lot of the times when you start to work on one issue the other issues get better as a resulti encourage you to find a professional therapist that can help you learn how to cope with all of the mental health difficulties that you described you deserve the help just as much as anyone else
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,hi many people begin their therapeutic journey with histories just like yours and experience transformative shifts in their quality of life  i hope you are able to find a counselor you feel comfortable working with and do the work if you feel called best of luck on your journey
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,absolutely not it sounds like you have significant trauma and it will continue to impact your depression until it is dealt with everybody has issues though some more traumatic than others yet it is best to just start somewhere i would encourage you to begin counseling and work through some of your history at your own pace in order to begin to impact and reduce your depressive symptoms
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,most clients have many issues that need working out it is normal to have many events in our lives that trouble us and remain with us without counseling help the right type of counsellor will help you focus on the main and most troubling issue you have first and work your way through all that you are managing step by step goal by goal sometimes working on one issue helps to bring other issues to light in the context of your main problem this can help you resolve some other issues that are connected look for someone with experience and specialty in your most pressing issueeven though you have had breast cancer you may find that grief from your past is more troubling then you would look for a bereavement or grief specialist
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,just go you start with the most prevalent issue by talking with your therapist healing one issue can have a ripple effect and heal other issues as well
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,there is no such thing as too many issues for counseling many issues are often interrelated and can all be worked on with some time and patience
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,hi people who have only a few issues and people who have several issues are perfect for therapy there is no such thing as having too many problems for therapy therapy is great because it will help you process all that you are going through heal from past and present pain and gain clarity
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,yeah you might at least it certainly feels like that i betnot to mention that most counselors out there might generally feel overwhelmed with a case with so many problems and so you will slog along weektoweek with gradual improvements occurring as she slowly does her best to chip awaythe real issue is that these folks dont yet comprehend the integrative nature of each of these subjects and how generally simple it is to understand them and then eradicate them
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,it could be said that you might be the perfect candidate for counseling no one is beyond hope and someone brave enough to be honest regarding their struggles with the intention of reaching out for help is certainly a person a qualified counselor would be happy to assist you may want to do some research on therapists in your local area who specialize in mindbody connection or one of the struggles you have acknowledged in your post in order to find a therapist that is best suited to meet your needs good luck on your search and remember that the world is a better place with you in it
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,no there are never too many issues to address in counseling therapy would begin by prioritizing what you feel needs to be addressed first as one area improves such as processing history of abuse you are likely to see improvement in other areas of your lifelike sleeping better
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,firstly i would like to say how amazing that you have been able to live through breast cancer sexual abuse as well as your depression and anxiety you are stronger than you may believe at this moment for being able to continue to grow and live through these experiences take a moment to acknowledge your strength and know that this strength will be an asset during the therapeutic process that you will be able to tap into to find increased self esteem and more strength to address the concerns you are having there are never too many concerns to address in therapy sessions i hope you can find a great therapist who you can trust to listen and work with you to identify and address the most concerning issues first once you begin to do this you may find an alleviation of symptoms and feelings which could allow you to grow your capacity to manage difficult feelings and situations and address additional concerns before you even realize it the issues you are having will begin to feel more manageable
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,absolutely not it is never too much the most important thing is that you are reaching out to get help  therapy helps you to develop healthier coping strategies and that can help reduce the anxiety and depression as well as improve your sleep this can all be done at a pace that is best for you your therapist can help you process all of this in a safe and supportive space
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,no it is natural for us to have a number of issues going on if we dont address the concerns we have in our lives seeking counseling can assist you in working on these issues individually as well as ways in which they intersect and impact each other
i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost 35 years ive never had counseling about any of this do i have too many issues to address in counseling,the most direct answer is no i would venture to guess that several of the things you are feeling symptoms are connected i would recommend a trauma counselor you have several strengths resources that you are able to pull from and i would encourage you to focus on them as you deal with the issues you have placed on the back burner for so long sometimes people are afraid to address things because they feel or believe that they wont be able to handle it compare it to a tornado the storm has passed but you are still in hiding for fear of the aftermath the mess left behind a good therapist is like a personal organizer to help you
